Module,Screen/Modal Name,Type,Task Description,UI Design Link (Figma/AI),Documentation Link (Before/After),PR Link,Status (Done?),Date Completed
tournament,KnockoutSchedulerModal,Modal,Create design -> Apply code -> PR -> Docs, , , ,[], 
tournament,ScheduleTab,Modal,Create design -> Apply code -> PR -> Docs, , , ,[], 
tournament,RegistrationModal,Modal,Create design -> Apply code -> PR -> Docs, , , ,[], 
tournament,TournamentDashboard,Modal,Create design -> Apply code -> PR -> Docs, , , ,[], 
tournament,TournamentPublicPage,Modal,Create design -> Apply code -> PR -> Docs, , , ,[], 
tournament,TournamentWizard,Screen,Create design -> Apply code -> PR -> Docs, , , ,[], 
turf,BookingPass,Modal,Create design -> Apply code -> PR -> Docs, , , ,[], 
turf,TurfBookingHistory,Modal,Create design -> Apply code -> PR -> Docs, , , ,[], 
turf,TurfCardMobile,Modal,Create design -> Apply code -> PR -> Docs, , , ,[], 
turf,TurfDetails,Modal,Create design -> Apply code -> PR -> Docs, , , ,[], 
turf,BookingInvoice,Screen,Create design -> Apply code -> PR -> Docs, , , ,[], 
turf,CheckoutPage,Screen,Create design -> Apply code -> PR -> Docs, , , ,[], 
venue-owner,VenueBanking,Modal,Create design -> Apply code -> PR -> Docs, , , ,[], 
venue-owner,OccupancyHeatmap,Modal,Create design -> Apply code -> PR -> Docs, , , ,[], 
venue-owner,ManualBookingModal,Modal,Create design -> Apply code -> PR -> Docs, , , ,[], 
venue-owner,VenueOwnerPromotions,Modal,Create design -> Apply code -> PR -> Docs, , , ,[], 
venue-owner,VenueOwnerRevenue,Modal,Create design -> Apply code -> PR -> Docs, , , ,[], 
venue-owner,TurfDetails,Modal,Create design -> Apply code -> PR -> Docs, , , ,[], 
wallet,Wallet,Screen,Create design -> Apply code -> PR -> Docs, , , ,[], 
Shared,CoinDeductionModal,Modal,Create design -> Apply code -> PR -> Docs, , , ,[], 
Shared,ConfirmModal,Modal,Create design -> Apply code -> PR -> Docs, , , ,[], 
Shared,EditProfileModal,Modal,Create design -> Apply code -> PR -> Docs, , , ,[], 
Shared,ForwardModal,Modal,Create design -> Apply code -> PR -> Docs, , , ,[], 
Shared,ImageCropperModal,Modal,Create design -> Apply code -> PR -> Docs, , , ,[], 
Shared,InterestsModal,Modal,Create design -> Apply code -> PR -> Docs, , , ,[], 
Shared,LocationSidebar,Modal,Create design -> Apply code -> PR -> Docs, , , ,[], 
Shared,LoginModal,Modal,Create design -> Apply code -> PR -> Docs, , , ,[], 
Shared,NetworkModal,Modal,Create design -> Apply code -> PR -> Docs, , , ,[], 
Shared,OnboardingModal,Modal,Create design -> Apply code -> PR -> Docs, , , ,[], 
Shared,ShareTurfModal,Modal,Create design -> Apply code -> PR -> Docs, , , ,[], 
Disputes,RaiseDisputeModal,Modal,Create design -> Apply code -> PR -> Docs, , , ,[], 
Disputes,ReportIssueFlowModal,Modal,Create design -> Apply code -> PR -> Docs, , , ,[], 
